TOKEN_ID,TOKEN_NAME,Color,Meka Type,Helmet,Eyes,Mask,Jaws,Arms,Chest,Colors,Weapon,Material,Legendary,NUM_TRAITS,RARITY_SCORE,Rank
1922,Meka #1922,22.686015538290793,20440.100000000002,2221.75,3524.155172413793,2920.0142857142855,3930.788461538462,4645.477272727273,6011.7941176470595,14600.071428571428,1.9992370854708796,3.7446368049830543,81760.40000000001,25550.125,165633.10562804106,1
6242,Meka #6242,22.686015538290793,20440.100000000002,2221.75,3524.155172413793,2920.0142857142855,3930.788461538462,4645.477272727273,6011.7941176470595,14600.071428571428,1.9992370854708796,3.7446368049830543,81760.40000000001,25550.125,165633.10562804106,2
6273,Meka #6273,22.686015538290793,20440.100000000002,2221.75,3524.155172413793,2920.0142857142855,3930.788461538462,4645.477272727273,6011.7941176470595,14600.071428571428,1.9992370854708796,3.7446368049830543,81760.40000000001,25550.125,165633.10562804106,3
8597,Meka #8597,22.686015538290793,20440.100000000002,2221.75,3524.155172413793,2920.0142857142855,3930.788461538462,4645.477272727273,6011.7941176470595,14600.071428571428,1.9992370854708796,3.7446368049830543,81760.40000000001,25550.125,165633.10562804106,4
4584,Meka #4584,5110.025000000001,18.286826213375086,100.98863636363636,370.9637023593466,132.72792207792207,178.6722027972028,211.15805785123965,273.2633689839572,21.06792413935271,1.9992370854708796,309.69848484848484,9.204142744568276,51.77330293819656,6789.828808402752,5
2370,Meka #2370,5110.025000000001,18.286826213375086,100.98863636363636,370.9637023593466,132.72792207792207,178.6722027972028,211.15805785123965,273.2633689839572,14.552774910113559,1.9992370854708796,309.69848484848484,9.204142744568276,51.77330293819656,6783.313659173513,6
7796,Meka #7796,5110.025000000001,18.286826213375086,100.98863636363636,281.9324137931034,132.72792207792207,178.6722027972028,211.15805785123965,273.2633689839572,65.0337257397391,1.9992370854708796,309.69848484848484,9.204142744568276,51.77330293819656,6744.763321436895,7
8075,Meka #8075,5110.025000000001,18.286826213375086,100.98863636363636,281.9324137931034,132.72792207792207,178.6722027972028,211.15805785123965,273.2633689839572,21.06792413935271,1.9992370854708796,309.69848484848484,9.204142744568276,51.77330293819656,6700.797519836509,8
1784,Meka #1784,22.686015538290793,42.851362683438154,222.17499999999998,361.4518125552608,96.5293978748524,357.3444055944056,189.61131725417437,255.82102628285358,65.1062271062271,1084.3554376657826,3893.3523809523813,9.204142744568276,51.77330293819656,6652.261829190431,9
2423,Meka #2423,22.686015538290793,77.42462121212122,167.67924528301887,140.9662068965517,140.72358003442338,149.74432234432237,619.3969696969697,209.1058823529412,65.1062271062271,542.1777188328913,3893.3523809523813,9.204142744568276,51.77330293819656,6089.340615932903,10
4370,Meka #4370,22.686015538290793,56.464364640883986,189.08510638297872,352.4155172413793,135.81461794019933,74.51731680641635,81.49960127591706,31.935161315522226,65.1062271062271,542.1777188328913,3893.3523809523813,9.204142744568276,51.77330293819656,5506.031473715852,11
3139,Meka #3139,22.686015538290793,18.286826213375086,197.48888888888888,17.70932247444117,53.57824377457405,24.529101164046565,147.475468975469,52.390362681020115,65.1062271062271,741.9274047186932,3893.3523809523813,9.204142744568276,51.77330293819656,5295.507688170172,12
7823,Meka #7823,22.686015538290793,56.464364640883986,306.44827586206895,223.75588396278053,87.16460554371001,74.51731680641635,139.7136021872864,157.1710880430604,65.1062271062271,201.38029556650244,3893.3523809523813,9.204142744568276,51.77330293819656,5288.737501892373,13
3581,Meka #3581,22.686015538290793,42.851362683438154,222.17499999999998,26.953385639876046,197.96707021791767,253.5992555831266,189.61131725417437,42.94138655462185,65.1062271062271,1.9992370854708796,3893.3523809523813,9.204142744568276,15.433479311386288,4983.88026067148,14
